existence_confidence,target,lemmed_tweets,stemmed_tweets
0.8185,0,proof there jazgar ft killer tsunami create peruvian lake glacier fracture fall lake,proof there jazgar ft killer tsunami creat peruvian lake glacier fractur fall lake
0.8892,0,otoolefan real science algores science hack manmade hoax gorepalin,otoolefan real scienc algor scienc hack manmad hoax gorepalin
0.8427,0,antiglobal scientist wrong stranger nature magazine academic journal int,antiglob scientist wrong stranger natur magazin academ journal int
0.9368,0,baloney accord expert nasa difference weather measure,baloney accord expert nasa differ weather measur
0.9318,0,computer forensics expert idiot belive true,comput forens expert idiot beliv true
1.0,0,liberal looney toon alarmist come home artic frost bite gathercom wont learn huh lo,liber looney toon alarmist come home artic frost bite gathercom wont learn huh lo
,2,despite climategate left invest heavily hysteria new way impose natl international control human freedom,despit climateg left invest heavili hysteria new way impos natl intern control human freedom
0.8485,2,tube explanation enjoy ipcc teaparty,tube explan enjoy ipcc teaparti
0.7774,1,immigration reform tale issue senate,immigr reform tale issu senat
1.0,2,memo white house correspondent dinner want green report id,memo white hous correspond dinner want green report id
1.0,2,view vary countriesangus reid monitor people country hold,view vari countriesangu reid monitor peopl countri hold
0.9309,2,scenarioschallenges california law source reuters peter henderson san francisco april,scenarioschalleng california law sourc reuter peter henderson san francisco april
0.9319,2,lindsay graham support legislation change today lindsey graham,lindsay graham support legisl chang today lindsey graham
0.9132,2,arizona immigration law legislation stallingwhich issue congress focus poll,arizona immigr law legisl stallingwhich issu congress focu poll
0.8845,2,graham exit talk put limbo climatechange schedule unveile,graham exit talk put limbo climatechang schedul unveil
0.8442,2,stall senate,stall senat
0.6812,1,people world grand rapid mich opponent legislation typically argue regulate globa,peopl world grand rapid mich oppon legisl typic argu regul globa
0.8253,2,cnnbrk sen graham imperils dems push immigration bill,cnnbrk sen graham imperil dem push immigr bill
0.8264,2,cafe scientifique present talk filmthe april cafe scientifique presentation,cafe scientifiqu present talk filmth april cafe scientifiqu present
1.0,1,check video business conference,check video busi confer
1.0,2,brilliant tip valentine day scream • ào • à clinical trial collagen clinique clip,brilliant tip valentin day scream • ào • à clinic trial collagen cliniqu clip
0.9431,2,usa policy update april,usa polici updat april
0.8557,2,press release april negotiator agree intensified,press releas april negoti agre intensifi
0.6061,1,soopermexican clearly,soopermexican clearli
1.0,2,postpartisan harry reid hapless play immigration,postpartisan harri reid hapless play immigr
0.5198,2,foe california law pour money campaign delay,foe california law pour money campaign delay
0.8899,2,earth day live chat carol browner director office energy policy obama admin,earth day live chat carol browner director offic energi polici obama admin
1.0,2,klein chance senate pass year,klein chanc senat pass year
0.5978,1,andychrism yes heard person make connection volcano,andychr ye heard person make connect volcano
0.3467,2,redostoneage nasa change fact guess thought wouldnt notice eco,redostoneag nasa chang fact guess thought wouldnt notic eco
0.9514,2,religious spin changelink,religi spin changelink
0.7971,1,environmental group praise basic meeting environmental group give qualify praise,environment group prais basic meet environment group give qualifi prais
0.7308,2,american believe humancaused bob elli april th good news,american believ humancaus bob elli april th good news
0.6439,2,heart earth day thousand million conscious action t,heart earth day thousand million consciou action t
0.5556,2,data suggests assumption do,data suggest assumpt do
0.8266,2,fiction fact denier claim,fiction fact denier claim
0.8191,2,thebcast bcast interview minnesotan fight youtube takedown,thebcast bcast interview minnesotan fight youtub takedown
0.6852,2,opponent ramp effort delay calif law,oppon ramp effort delay calif law
0.8017,2,aware world people conference earth right bolivia earthweek indigenous stnations,awar world peopl confer earth right bolivia earthweek indigen stnation
0.9109999999999999,2,sorry wont able accept invitation panelist bolivia talk,sorri wont abl accept invit panelist bolivia talk
0.9019,2,gclugo guardianscience scientist sue newspaper poison debate,gclugo guardiansci scientist sue newspap poison debat
0.7452,2,sharifkouddous indigenous group bolivia arrive world people conference,sharifkoudd indigen group bolivia arriv world peopl confer
0.7774,1,recycle water meat peanut rare grape,recycl water meat peanut rare grape
1.0,2,great article,great articl
0.7723,2,cuccinelli file motion force epa reopen find virginia attorney general ken cuccinelli ha,cuccinelli file motion forc epa reopen find virginia attorney gener ken cuccinelli ha
1.0,0,don blankenship safety regulator silly,don blankenship safeti regul silli
1.0,2,bring hair nanogens nanofibers clinical trial collagen,bring hair nanogen nanofib clinic trial collagen
0.5670000000000001,1,streetcorner globalwarming counsel urgh certain element item sunday washington post • àfive myth,streetcorn globalwarm counsel urgh certain element item sunday washington post • àfive myth
1.0,2,religious,religi
0.5971,1,ready pli environmental regulation commercial implication,readi pli environment regul commerci implic
0.8221,1,live tonight fellow heather rogers join expert james hansen discus real solution,live tonight fellow heather roger join expert jame hansen discuss real solut
0.5121,1,plan b california brace,plan b california brace
0.7967,1,plant effective way tackle warmingwashington apr plant leaf account,plant effect way tackl warmingwashington apr plant leav account
0.6122,1,angiemartinez degree nyc shiiiiiitttt fuck glodmansachs obama well plan,angiemartinez degre nyc shiiiiiitttt fuck glodmansach obama better plan
0.7874,1,sustainability key driver future economic development listen,sustain key driver futur econom develop listen
0.5778,1,frederic hague pen isnt just alarm bell blinking discotech,freder hagu pen isnt just alarm bell blink discotech
1.0,1,general say threatens america security pentagon know consider,gener say threaten america secur pentagon known consid
1.0,1,general know go screw,gener know go screw
0.6224,1,government report say cause cancer mental illness,govern report say caus cancer mental ill
0.8157,1,disturbedwater increase heat wave flood epa,disturbedwat increas heat wave flood epa
1.0,1,sciencedaily plant remain effective way tackle,sciencedaili plant remain effect way tackl
1.0,1,far class gotten heat discussion denier w student fault,far class gotten heat discuss denier w student fault
1.0,1,newsweek kill forest colorado,newsweek kill forest colorado
1.0,1,epa confirms change display sea occur environmental p,epa confirm chang display sea occur environment p
0.7853,1,place disappear europepics prediction prove true foll,place disappear europep predict prove true foll
0.8275,1,quixotecenter combat lesson world • às indigenous people,quixotecent combat lesson world • às indigen peopl
1.0,1,chrisdodd live ct support strong action,chrisdodd live ct support strong action
0.5844,2,nicnunes epsclimate indigenous tradition use fight,nicnun epsclim indigen tradit use fight
0.7949,1,danlatorre james hansenheather rogers green go wrong false hope real solution pm,danlatorr jame hansenheath roger green gone wrong fals hope real solut pm
0.6021,1,forest absorb carbon say activist,forest absorb carbon say activist
1.0,1,melt glaciersbillings mont glacier national park lose namesake,melt glaciersbil mont glacier nation park lost namesak
1.0,1,forest absorb carbon,forest absorb carbon
0.5857,1,danielsaudade beautiful fall weather morning new york thanks bleh,danielsaudad beauti fall weather morn new york thank bleh
0.6105,1,beautiful fall weather morning new york thanks bleh,beauti fall weather morn new york thank bleh
1.0,1,threatens japan cherry blossom environment arent familiar culture japan,threaten japan cherri blossom environ arent familiar cultur japan
1.0,1,wed sciam podcast mountain v valley temp stretch apart,wed sciam podcast mountain vs valley temp stretch apart
0.8166,1,mountain v valley temp stretch apart,mountain vs valley temp stretch apart
1.0,1,arctic rain april sign warmingthe canadian arctic hit rain sign,arctic rain april sign warmingth canadian arctic hit rain sign
0.6448,1,microbe contribute warmingnew haven conn,microb contribut warmingnew haven conn
0.5862,1,south asian nation fight foreign minister south asian nation met seclude h,south asian nation fight foreign minist south asian nation met seclud h
1.0,1,increase heat wave floodswashington reuters death heat wave property damage,increas heat wave floodswashington reuter death heat wave properti damag
0.5699,1,james hansen heather rogers green go wrong false hope real solution pm demosorg,jame hansen heather roger green gone wrong fals hope real solut pm demosorg
0.8190000000000001,1,love frog leap seriously grist mean wine industry theclimatedesk,love frog leap serious grist mean wine industri theclimatedesk
0.823,1,report save whale theyll save,report save whale theyll save
0.621,2,indiaenvportal contribution organic agriculture mitigation,indiaenvport contribut organ agricultur mitig
1.0,1,arctic beauty black white alaska effect slide end wor,arctic beauti black white alaska effect slide end wor
1.0,1,epa report document real impact indicator study,epa report document real impact indic studi
0.617,1,carbonmarket ask g g support biochar fight food shortage check huffpo post,carbonmarket ask g g support biochar fight food shortag check huffpo post
0.7868,1,christellar whale doodoo help fight sure,christellar whale doodoo help fight sure
0.8236,1,science good news soil release carbon world warms,scienc good news soil releas carbon world warm
0.7863,1,april th phoenix • á weather snow new york today hmmmm,april th phoenix • á weather snow new york today hmmmm
1.0,1,high temperature sea level warmingkuala lumpur malaysia average temperature risen,higher temperatur sea level warmingkuala lumpur malaysia averag temperatur risen
0.5986,2,west mediterranean country unite afp,west mediterranean countri unit afp
0.7835,1,cleaner air speed warminghugh pickens writes scientist estimate clean air act cut,cleaner air speed warminghugh picken write scientist estim clean air act cut
0.5995,2,business create new ad action,busi creat new ad action
0.8121,1,person snow degree day weather doesnt surprise anymore person thats win,person snow degre day weather doesnt surpris anymor person that win
0.8009,2,just heard interest report report understand changeclimate variability influence human evolution dispersal,just heard interest report report understand changeclim variabl influenc human evolut dispers
1.0,1,jerryjamesstone alaska effect pic,jerryjamesston alaska effect pic
0.7941,2,new blog post mandate energy benchmarking step city address,new blog post mandat energi benchmark step citi address
0.774,1,realdocwatson antarctica stake claim like florida year,realdocwatson antarctica stake claim like florida year
1.0,1,trouble do mean agriculture just ask wine industry,troubl doe mean agricultur just ask wine industri
1.0,1,arctic beauty black white alaska effect slide,arctic beauti black white alaska effect slide
1.0,1,paris alp european place peril photo,pari alp european place peril photo
0.6395,2,electoral map national oceanic atmospheric administration isnt know,elector map nation ocean atmospher administr isnt known
0.8018,1,m report cleaner air actually intensify world marked earth day past week environmental,m report cleaner air actual intensifi world mark earth day past week environment
1.0,1,threat alltim blair round late news wild frontier,threat alltim blair round latest news wild frontier
1.0,1,kuna indian prepare relocation traditional home sink,kuna indian prepar reloc tradit home sink
1.0,1,kill california wine buzz dr kimberley cahill present califor,kill california wine buzz dr kimberley cahil present califor
0.6348,2,uncajoe uncajoe plz digg hate politics denial h,uncajo uncajo plz digg hate polit denial h
1.0,1,ocean chemistry change faster yearsand thats carbon,ocean chemistri chang faster yearsand that carbon
0.8017,1,good go douche im sure backass world graham imperils obama agenda,good go douch im sure backass world graham imperil obama agenda
1.0,1,ski resort fight warmingsalt lake city ap ski resort use thanksgiving,ski resort fight warmingsalt lake citi ap ski resort use thanksgiv
0.8149,1,bat bird lizard fight eat insect bird bat lizard play important,bat bird lizard fight eat insect bird bat lizard play import
0.6484,1,indiaenvportal make green cloud compute contribution,indiaenvport make green cloud comput contribut
1.0,1,heidiames favor invasive specie indigenous one plant thoreau saw extinct,heidiam favor invas speci indigen one plant thoreau saw extinct
1.0,1,scary climateproject alter season spring day early,scari climateproject alter season spring day earli
0.6088,2,thompsonplc boliviaun pres evo morale latimes changelessons indigenous people,thompsonplc boliviaun pre evo moral latim changelesson indigen peopl
0.7884,1,mediaglobal report special tip point earth day event science art mobilize fight,mediaglob report special tip point earth day event scienc art mobil fight
0.7913,2,review yesterday discussion,review yesterday discuss
1.0,1,kill forest colorado,kill forest colorado
0.599,1,combat lesson world indigenous people arrive united nation climat,combat lesson world indigen peopl arriv unit nation climat
0.8814,1,africa meteorology service gear continent vulnerable c,africa meteorolog servic gear contin vulner c
0.5868,2,gecko step greener living daunt carbon credit mention,gecko step greener live daunt carbon credit mention
1.0,1,china key fix warmingwith rapid expansion come sizable environmental impact world,china key fix warmingwith rapid expans come sizabl environment impact world
1.0,1,pb go green new york examine new yorkers confront check local listing,pb go green new york examin new yorker confront check local list
1.0,1,official nasa report sun cause,offici nasa report sun caus
0.6584,1,treehugger huffpostgreen just crazy coal ceo call safety rule silly,treehugg huffpostgreen just crazi coal ceo call safeti rule silli
1.0,1,sciam impact extend human health,sciam impact extend human health
1.0,1,impact extend human health,impact extend human health
0.611,2,good news bad news rebecca solnit,good news bad news rebecca solnit
0.8256,1,alpha phi alpha take energy efficiency,alpha phi alpha take energi effici
0.634,1,natural variability do explain scientist tell popular tv meteorologist,natur variabl doe explain scientist tell popular tv meteorologist
0.6458,1,rebecca solnit degree inseparability good news bad news,rebecca solnit degre insepar good news bad news
1.0,1,watch video threatens sacred tibetan mountain include land know shangrila,watch video threaten sacr tibetan mountain includ land known shangrila
0.5944,1,african meteorology service gear americagov iri,african meteorolog servic gear americagov iri
0.7866,1,economist say bad economy,economist say bad economi
0.8170000000000001,1,report allergy season bad timecom,report allergi season wors timecom
1.0,1,don • àt kill • à save accountability act,don • àt kill • à save account act
0.5976,1,oxfam make farmer pastoralists ethiopia increasingly vulnerable,oxfam make farmer pastoralist ethiopia increasingli vulner
0.6359,1,denis hayes founder earth day compare irish famine irishcentral news weather politics,deni hay founder earth day compar irish famin irishcentr news weather polit
1.0,1,oxfam make farmer pastoralists ethiopia increasingly vulnerable,oxfam make farmer pastoralist ethiopia increasingli vulner
1.0,1,earthday aware consume waste treat place effect,earthday awar consum wast treat place effect
0.8136,1,earth day ben verwaayen do curb,earth day ben verwaayen do curb
1.0,1,health industrial nation feel impact report,health industri nation feel impact report
0.6015,1,step greener living daunt carbon credit mention biofuel,step greener live daunt carbon credit mention biofuel
0.5851,1,raise cost allergy reuters,rais cost allergi reuter
0.596,1,treat curable disease bioethicists international law expert met asilomar later la,treat curabl diseas bioethicist intern law expert met asilomar later la
1.0,1,just crazy coal ceo call safety rule silly,just crazi coal ceo call safeti rule silli
0.8037,1,military lead fight,militari lead fight
0.8201,1,military lead fight military government large fuel buyer lead th,militari lead fight militari govern largest fuel buyer lead th
0.6099,1,swedish expert say main cause warmingswedish expert dr fred goldberg say,swedish expert say main caus warmingswedish expert dr fred goldberg said
0.5973,1,greenforyou treat curable disease wire science wiredcom green,greenfory treat curabl diseas wire scienc wiredcom green
1.0,2,,
1.0,1,thursday pb go green new york examine new yorkers confront check local listing,thursday pb go green new york examin new yorker confront check local list
1.0,1,• à cooperation prevent runaway secretary • à united nation seek dialogue,• à cooper prevent runaway secretari • à unit nation seek dialogu
1.0,1,rt democracynow important event struggle nigerian environmentalist nnimmo bassey,rt democracynow import event struggl nigerian environmentalist nnimmo bassey
1.0,1,military lead fight pew,militari lead fight pew
0.7808,1,report identifies disease health issue affctd u inclde mental health evrythings stake,report identifi diseas health issu affctd u incld mental health evryth stake
1.0,1,earth day resource cop,earth day resourc cope
1.0,1,ocean saltiness show intensify water cycle,ocean salti show intensifi water cycl
0.5729,2,fedele bauccio combat meal time week american celebrate th anniver,fedel bauccio combat meal time week american celebr th anniv
0.8046,1,egeemnz mrdannyglover support world people conf cochabambaboliviawatch live,egeemnz mrdannyglov support world peopl conf cochabambaboliviawatch live
1.0,1,barrett well lot small protocol push comprehensive,barrett better lot small protocol push comprehens
1.0,1,topography mountain complicate rate,topographi mountain complic rate
0.6141,1,mrdannyglover support world people conference cochabamba bolivia watch live,mrdannyglov support world peopl confer cochabamba bolivia watch live
0.5849,1,issue require universal cooperation address smallpox ozone layer,issu requir univers cooper address smallpox ozon layer
0.5891,2,hereisawayjose bolivia president,hereisawayjos bolivia presid
0.5362,1,indiawater boil point contain spill indian subcontinent • à,indiawat boil point contain spill indian subcontin • à
0.6195,1,eyjafjallaj • kull world trigger earthquake landslide,eyjafjallaj • kull world trigger earthquak landslid
1.0,1,ethiopia increase poverty vulnerability,ethiopia increas poverti vulner
1.0,1,ethiopia increase poverty vulnerability smallscale farmer pastoralists,ethiopia increas poverti vulner smallscal farmer pastoralist
0.8272,1,democracynow important event struggle nigerian environmentalist nnimmo bassey • à,democracynow import event struggl nigerian environmentalist nnimmo bassey • à
0.8148,1,important event struggle nigerian environmentalist nnimmo bassey • à,import event struggl nigerian environmentalist nnimmo bassey • à
0.5833,1,energysection backgrounder china major policy tackle year,energysect background china major polici tackl year
0.8026,1,uw biologist link early bloom warmingassociated press april et stevens point,uw biologist link earli bloom warmingassoci press april et steven point
1.0,1,make iceland volcano angrymelting glacier world trigger,make iceland volcano angrymelt glacier world trigger
0.7732,1,nyc katrinalike flood warmer wetter future sea level rise foot yr,nyc katrinalik flood warmer wetter futur sea level rise feet yr
1.0,1,geologist drill antarctica trouble sign ice sheet future • à melt come fast,geologist drill antarctica troubl sign ice sheet futur • à melt come fast
0.8205,1,capitalism dy mother earth do evo morale claim people world conference,capit die mother earth doe evo moral claim peopl world confer
1.0,1,rubberstamprosk motherjones gift increase allergy attack,rubberstamprosk motherjon gift increas allergi attack
1.0,1,africa time bomb await africa doubt environmental issue ha,africa time bomb await africa doubt environment issu ha
0.6772,1,buying carbon offset ease ecoguilt,buy carbon offset eas ecoguilt
1.0,1,qorianka eye cochabamba alrdy suffer ll havechancetospeakout,qorianka eye cochabamba alrdi suffer ll havechancetospeakout
0.5844,2,ecosteward ecomonday invasivenotes discussion invasive specie recommend,ecosteward ecomonday invasivenot discuss invas speci recommend
1.0,1,ocean floor population organism despite little oxygen cause oxygen depletionreduce biodiversitylink,ocean floor popul organ despit littl oxygen caus oxygen depletionreduc biodiversitylink
0.7789,1,join discussion earth day food security irreversible destiny,join discuss earth day food secur irrevers destini
0.5363,2,nwf new york city new waterfront plan consideration,nwf new york citi new waterfront plan consider
0.605,1,pat mooney danger geoengineering manipulate planet combat,pat mooney danger geoengin manipul planet combat
1.0,1,seasonal allergy get bad,season allergi get wors
1.0,1,just believe peep think believe god instead,just believ peep think believ god instead
1.0,1,zener advise think dead buy oceanfront property live ya,zener advis think dead buy oceanfront properti live ya
1.0,1,melt ice cap help trigger volcanic eruption,melt ice cap help trigger volcan erupt
0.7923,1,mary ellen harte john harte address win war sustainability heart clim,mari ellen hart john hart address win war sustain heart clim
0.6131,1,drudgereport state dept declares unequivocal primarily humaninduced,drudgereport state dept declar unequivoc primarili humaninduc
0.5843,1,increasingly corporation conclude real bet wiredcom,increasingli corpor conclud real bet wiredcom
0.7916,1,right richard bransons earthday message biz ur house orderfight warminggreen eco,right richard branson earthday messag biz ur hous orderfight warminggreen eco
1.0,1,meatwise cynthia bateman meatwise monday animal agriculture make bad,meatwis cynthia bateman meatwis monday anim agricultur make wors
0.6063,1,state dept declares unequivocal primarily humaninduced,state dept declar unequivoc primarili humaninduc
1.0,1,melt ice cap trigger volcanic eruption,melt ice cap trigger volcan erupt
1.0,1,lilferret hey come kind idea fix love environmentalism class sigh,lilferret hey came kind idea fix love environment class sigh
1.0,1,overview green car revolution go green increase awareness threat,overview green car revolut go green increas awar threat
1.0,1,nd eruption hekla iceland let year earth struck oil spill,nd erupt hekla iceland let year earth struck oil spill
1.0,1,newsweek place disappear • àthe america photo,newsweek place disappear • àthe america photo
0.8036,1,episcopalrelief bishop lane episcopal dio maine important issue time bangor daily nw,episcopalrelief bishop lane episcop dio main import issu time bangor daili nw
0.5928,2,treehugger case wonder impact volcano iceland,treehugg case wonder impact volcano iceland
1.0,1,cool bad heating thing upin honest discussion,cool bad heat thing upin honest discuss
1.0,1,invasivenotes rarewildlifeguy migration pattern change billion bird,invasivenot rarewildlifeguy migrat pattern chang billion bird
1.0,1,volcanic ash cloud trigger volcanoesclimate spark hazardous,volcan ash cloud trigger volcanoesclim spark hazard
0.7834,1,just briefed cool volcano abc wonder get stratosphere slowimprove,just brief cool volcano abc wonder get stratospher slowimprov
0.6015,1,change allergy,chang allergi
0.6121,2,obama say china wait sydney afp april president barack obama thursd,obama say china wait sydney afp april presid barack obama thursd
0.5904,1,beckbasher iandavidb shoq denier bobby jindal mocked volcano warning read paper lately start think,beckbash iandavidb shoq denier bobbi jindal mock volcano warn read paper late start think
0.8233,1,tednews cara mertes tedxvolcano strand weekend get sneak preview adapt,tednew cara mert tedxvolcano strand weekend get sneak preview adapt
0.8105,1,larry brilliant tedxvolcano fight science single important thing face socmedia enviro,larri brilliant tedxvolcano fight scienc singl import thing face socmedia enviro
1.0,1,larry brilliant tedxvolcano fight science single important thing face socent green,larri brilliant tedxvolcano fight scienc singl import thing face socent green
0.7788,1,damn man ash cloud europe crazy say volcano activatinggetting crazy,damn man ash cloud europ crazi say volcano activatingget crazi
0.8451,1,tednews larry brilliant tedxvolcano exacerbate crisis age science attack,tednew larri brilliant tedxvolcano exacerb crise age scienc attack
0.794,1,cause volcano eruption jonah goldberg reuters oslo reuters thaw iceland,caus volcano erupt jonah goldberg reuter oslo reuter thaw iceland
0.6076,2,climateschange bring indigenous voice conversation,climateschang bring indigen voic convers
0.7738,1,volcanic activity ice cap thaw awaken icelandic volcano,volcan activ ice cap thaw awaken iceland volcano
1.0,1,• àno rain amazon south america • às affect entire planet • à interview nikolas kozloff vid,• àno rain amazon south america • às affect entir planet • à interview nikola kozloff vid
0.8176,1,place disappear • àthe america photo,place disappear • àthe america photo
0.7959,1,bruce hmmm bury lede iceland glacier melt volcano,bruce hmmm buri lede iceland glacier melt volcano
0.617,1,sure consensus scientist warns lead volcano crisis melt ice,sure consensu scientist warn lead volcano crise melt ice
0.8121,1,wish cochabamba people world conference right mother earth boliviaun,wish cochabamba peopl world confer right mother earth boliviaun
1.0,1,feel organicnewyork make seasonal allergy bad nearrecord high spring,feel organicnewyork make season allergi wors nearrecord high spring
1.0,1,organicnewyork make seasonal allergy bad nearrecord high spring,organicnewyork make season allergi wors nearrecord high spring
1.0,1,like icelandic volcanic eruption disrupt air travel glacier thaw,like iceland volcan erupt disrupt air travel glacier thaw
0.7951,1,cochabamba summit offer new approach combat,cochabamba summit offer new approach combat
1.0,1,make sneeze,make sneez
0.5934,1,environment simple remind computer user power workin,environ simpl remind comput user power workin
1.0,1,professor perspective reason concerned changespring connecticut brings renewal,professor perspect reason concern changespr connecticut bring renew
1.0,1,need switch renewable energyclimate scientist long warn accelerate,need switch renew energyclim scientist long warn acceler
0.8164,1,culprit offthecharts pollen count,culprit offthechart pollen count
0.8205,1,coalition tire wait fight ground level,coalit tire wait fight ground level
1.0,1,allergy season worsen report new report release wednesday national wildlife,allergi season worsen report new report releas wednesday nation wildlif
0.6819,2,author nikolas kozloff rain amazon south america affect entire planet,author nikola kozloff rain amazon south america affect entir planet
0.7862,1,cute mention denialist sends finnish newspaper article purportedly refute,cute mention denialist send finnish newspap articl purportedli refut
0.7995,1,nationalize energy industry necessary fight,nation energi industri necessari fight
1.0,1,iceland volcano likely slow warminga vast cloud intensify volcanic eruption iceland,iceland volcano like slow warminga vast cloud intensifi volcan erupt iceland
1.0,1,reading time allergy bad blame,read time allergi wors blame
0.6058,2,bn redd forest conservation partnership curb leaf envl group indigenous population,bn redd forest conserv partnership curb leav envl group indigen popul
1.0,1,rds tbaggers dont think problem say theyre ignorant,rd tbagger dont think problem said theyr ignor
0.5899,1,miss heat affect future,miss heat affect futur
1.0,1,building green economy,build green economi
0.7979999999999999,1,threaten glacier national park montana economy examinercom,threaten glacier nation park montana economi examinercom
0.5979,1,new york raise cost allergy,new york rais cost allergi
1.0,1,think allergy bad wait kick michig,think allergi bad wait kick michig
0.8037,1,exclusive raise cost allergy reuters,exclus rais cost allergi reuter
0.7933,1,kenya extreme weather test pastoralist perception effect drought,kenya extrem weather test pastoralist percept effect drought
1.0,1,just life treehugger,just live treehugg
0.6015,1,major league baseball team throw curve denier,major leagu basebal team throw curv denier
0.8172,1,endanger place save newsweek,endang place save newsweek
1.0,1,tip day plant tree birthday plant absorb help reduce,tip day plant tree birthday plant absorb help reduc
0.7759,1,united state lead • à kerry energy multiple benefit green,unit state lead • à kerri energi multipl benefit green
0.7693,1,greennet internet compute fight,greennet internet comput fight
1.0,2,business create new ad action cleantechnica,busi creat new ad action cleantechnica
1.0,1,greennet internet compute fight internet software compute,greennet internet comput fight internet softwar comput
0.6042,1,leak document call • àglobal regime • à tackle,leak document call • àglobal regim • à tackl
1.0,1,reinvent city stop,reinvent citi stop
1.0,1,continue melt glacier national park icon national p,continu melt glacier nation park icon nation p
1.0,1,abu dhabi face flood threat expert culture society arabia,abu dhabi face flood threat expert cultur societi arabia
0.6523,2,china active tackle say vice president humani,china activ tackl say vice presid humani
0.8122,1,china active tackle say vic,china activ tackl say vic
0.7979999999999999,1,study se asia hit hard,studi se asia hit hard
1.0,1,action help protect wildlife habitat,action help protect wildlif habitat
0.6099,1,obama china act soon,obama china act soon
1.0,1,capitalism doesn • àt end end capitalism degrowth,capit doesn • àt end end capit degrowth
0.8305,1,demand congress action pls sign petition,demand congress action pl sign petit
0.7971,1,carbon age kill legislation,carbon age kill legisl
0.7879,2,obama say tv interview allow china wait tackle,obama say tv interview allow china wait tackl
0.6207,1,government claim cause cancer,govern claim caus cancer
1.0,1,protect wildlife habitat,protect wildlif habitat
0.8165,1,plan b california brace,plan b california brace
0.7835,1,scenario imminent apocalypse • àonly,scenario immin apocalyps • àonli
0.9174,1,dc ft work greenpeace stop hr involve greenpeac,dc ft work greenpeac stop hr involv greenpeac
